alpha,beta,chain
-0.21473281,0.14495493,chain_0
-0.18641916,0.1718583,chain_0
-0.2156206,0.15644476,chain_0
-0.2118086,0.15789159,chain_0
-0.22618836,0.21305084,chain_0
-0.21554458,0.16580865,chain_0
-0.22353867,0.19189231,chain_0
-0.21459949,0.16696578,chain_0
-0.22556241,0.18356284,chain_0
-0.23020215,0.19533819,chain_0
-0.2036342,0.16851863,chain_0
-0.2084514,0.13364689,chain_0
-0.20910293,0.16617173,chain_0
-0.24231905,0.21409182,chain_0
-0.2276155,0.1811589,chain_0
-0.22772035,0.17023566,chain_0
-0.23588136,0.18154317,chain_0
-0.19677584,0.18114719,chain_0
-0.22106494,0.18802941,chain_0
-0.20703064,0.18679416,chain_0
-0.2201905,0.19264139,chain_0
-0.21308371,0.18365182,chain_0
-0.2167109,0.18385948,chain_0
-0.22932899,0.19555302,chain_0
-0.20586681,0.18609135,chain_0
-0.23313868,0.16374958,chain_0
-0.22452745,0.20196941,chain_0
-0.23479891,0.18575716,chain_0
-0.2059745,0.15970758,chain_0
-0.23068169,0.19764195,chain_0
-0.23758645,0.19156635,chain_0
-0.23323095,0.18842171,chain_0
-0.20329371,0.18855554,chain_0
-0.22992685,0.19520786,chain_0
-0.22901024,0.19667222,chain_0
-0.24436337,0.19512768,chain_0
-0.20028168,0.15793814,chain_0
-0.23535028,0.19080901,chain_0
-0.18988022,0.14478216,chain_0
-0.21196987,0.15029198,chain_0
-0.20325157,0.17765015,chain_0
-0.19820842,0.19294813,chain_0
-0.21024011,0.1720816,chain_0
-0.22659853,0.18276593,chain_0
-0.2385693,0.18765396,chain_0
-0.2039219,0.1800528,chain_0
-0.21076666,0.16344021,chain_0
-0.19505219,0.15718298,chain_0
-0.22706448,0.18985559,chain_0
-0.22076486,0.15585646,chain_0
-0.20612866,0.15829177,chain_0
-0.2373262,0.18424784,chain_0
-0.20963454,0.1719911,chain_0
-0.20087874,0.16885366,chain_0
-0.22549802,0.17595905,chain_0
-0.22727586,0.2247185,chain_0
-0.19912195,0.16238624,chain_0
-0.22625974,0.18361108,chain_0
-0.204547,0.1625156,chain_0
-0.22488362,0.20952016,chain_0
-0.23724274,0.18280478,chain_0
-0.246242,0.17439951,chain_0
-0.21674356,0.19074692,chain_0
-0.19534674,0.14368778,chain_0
-0.20962921,0.17312653,chain_0
-0.22301945,0.16987555,chain_0
-0.19886734,0.15194991,chain_0
-0.23514517,0.1968286,chain_0
-0.20889786,0.15663874,chain_0
-0.23562874,0.1946994,chain_0
-0.23244812,0.16556399,chain_0
-0.22927581,0.18746218,chain_0
-0.22986172,0.19477113,chain_0
-0.21822256,0.19028802,chain_0
-0.22310181,0.18969257,chain_0
-0.2061511,0.19583343,chain_0
-0.2246532,0.1907725,chain_0
-0.22069637,0.17930017,chain_0
-0.22614343,0.2010635,chain_0
-0.24213602,0.22045776,chain_0
-0.21741362,0.17736073,chain_0
-0.22966398,0.20268838,chain_0
-0.20483963,0.18553475,chain_0
-0.24843845,0.22447358,chain_0
-0.23302099,0.1911558,chain_0
-0.22971909,0.19561222,chain_0
-0.18439811,0.16059045,chain_0
-0.24366085,0.18570034,chain_0
-0.19635877,0.14866748,chain_0
-0.22927709,0.21663478,chain_0
-0.194185,0.15651503,chain_0
-0.25036168,0.18734026,chain_0
-0.23216619,0.22381873,chain_0
-0.19726866,0.15468659,chain_0
-0.23617528,0.19172676,chain_0
-0.20569295,0.16831137,chain_0
-0.2264955,0.18030286,chain_0
-0.23519248,0.19747758,chain_0
-0.24330029,0.21490477,chain_0
-0.20511459,0.17180017,chain_0
-0.23118258,0.19085631,chain_0
-0.22014873,0.18364435,chain_0
-0.243771,0.18156436,chain_0
-0.22912061,0.17970078,chain_0
-0.17198893,0.14775766,chain_0
-0.20663986,0.17092754,chain_0
-0.22827822,0.18403798,chain_0
-0.21418703,0.18134351,chain_0
-0.23548771,0.17989254,chain_0
-0.20359577,0.1848802,chain_0
-0.23698664,0.198422,chain_0
-0.23624791,0.19824207,chain_0
-0.20229292,0.16388431,chain_0
-0.2009532,0.17086485,chain_0
-0.24196412,0.18607938,chain_0
-0.22604826,0.2004256,chain_0
-0.21569741,0.18453152,chain_0
-0.213799,0.22474198,chain_0
-0.20452352,0.16551934,chain_0
-0.22195071,0.21925789,chain_0
-0.25079128,0.1846757,chain_0
-0.23410821,0.20250912,chain_0
-0.21905118,0.16652538,chain_0
-0.23769462,0.19417456,chain_0
-0.24418786,0.22902204,chain_0
-0.20617247,0.16957307,chain_0
-0.19956844,0.18611607,chain_0
-0.2194234,0.19536944,chain_0
-0.19493824,0.14579526,chain_0
-0.18954517,0.16930467,chain_0
-0.22084045,0.2005429,chain_0
-0.22485854,0.1911627,chain_0
-0.20174563,0.17016152,chain_0
-0.20042197,0.18856406,chain_0
-0.24089853,0.20775062,chain_0
-0.23019813,0.17288221,chain_0
-0.24076472,0.230224,chain_0
-0.205383,0.14371316,chain_0
-0.2020406,0.18027444,chain_0
-0.21710312,0.18883777,chain_0
-0.20628807,0.17641908,chain_0
-0.1787274,0.15211923,chain_0
-0.19671427,0.15634942,chain_0
-0.19695435,0.18175058,chain_0
-0.23382998,0.17263849,chain_0
-0.22648016,0.17771083,chain_0
-0.22769368,0.19206776,chain_0
-0.20684421,0.16313347,chain_0
-0.22557405,0.18289717,chain_0
-0.21456861,0.15990418,chain_0
-0.20138325,0.20140901,chain_0
-0.25022063,0.19170827,chain_0
-0.2256877,0.18886378,chain_0
-0.1972771,0.17814994,chain_0
-0.21928385,0.16624863,chain_0
-0.21874855,0.19750185,chain_0
-0.22039297,0.18132347,chain_0
-0.19451883,0.17066428,chain_0
-0.20264585,0.17221127,chain_0
-0.20268317,0.17834805,chain_0
-0.23721682,0.17405951,chain_0
-0.20415798,0.17869899,chain_0
-0.23702116,0.20228682,chain_0
-0.2409056,0.1754497,chain_0
-0.1890943,0.1650602,chain_0
-0.21097024,0.1504569,chain_0
-0.20791945,0.141971,chain_0
-0.17083396,0.15954657,chain_0
-0.22961426,0.18329616,chain_0
-0.23735791,0.1800965,chain_0
-0.24139929,0.19379452,chain_0
-0.21073772,0.1778632,chain_0
-0.21806428,0.18151976,chain_0
-0.23677075,0.17897934,chain_0
-0.22993986,0.18143013,chain_0
-0.20985626,0.18673797,chain_0
-0.23927173,0.18546143,chain_0
-0.21091872,0.17530279,chain_0
-0.20376532,0.16855784,chain_0
-0.22605057,0.17582588,chain_0
-0.22523062,0.19303684,chain_0
-0.2153023,0.17925978,chain_0
-0.23283383,0.19106437,chain_0
-0.2129565,0.20831387,chain_0
-0.23755424,0.17663278,chain_0
-0.20434916,0.16886258,chain_0
-0.22094916,0.18486974,chain_0
-0.2722949,0.2445989,chain_0
-0.20363757,0.18726446,chain_0
-0.24125826,0.20313908,chain_0
-0.19493641,0.16446178,chain_0
-0.20406646,0.15780059,chain_0
-0.2328921,0.22156788,chain_0
-0.20213729,0.1486685,chain_0
-0.17792167,0.14161058,chain_0
-0.23043054,0.19306466,chain_0
-0.2323456,0.18266869,chain_0
-0.23930046,0.18907914,chain_0
-0.24028112,0.2126766,chain_0
-0.18199614,0.1440661,chain_0
-0.23290889,0.19165392,chain_0
-0.19948459,0.18321338,chain_0
-0.22441183,0.18880287,chain_0
-0.208867,0.18208061,chain_0
-0.21431546,0.19105522,chain_0
-0.23425202,0.20345691,chain_0
-0.2197983,0.20377745,chain_0
-0.22889164,0.18718223,chain_0
-0.22028854,0.17013302,chain_0
-0.22712125,0.19645162,chain_0
-0.23041892,0.19319524,chain_0
-0.22225162,0.17069899,chain_0
-0.20923597,0.1680488,chain_0
-0.21529645,0.18984511,chain_0
-0.1878793,0.16751868,chain_0
-0.21973383,0.16990247,chain_0
-0.21195945,0.17464429,chain_0
-0.21921608,0.18062069,chain_0
-0.22727402,0.15948626,chain_0
-0.22890764,0.21567231,chain_0
-0.23143634,0.15234673,chain_0
-0.20633514,0.17421414,chain_0
-0.2095532,0.1903399,chain_0
-0.2226315,0.2060573,chain_0
-0.21103472,0.18214215,chain_0
-0.21281554,0.18877041,chain_0
-0.21629383,0.21284108,chain_0
-0.21467967,0.18610093,chain_0
-0.19671102,0.15555327,chain_0
-0.2579983,0.19718358,chain_0
-0.21782582,0.17471488,chain_0
-0.18996412,0.15614508,chain_0
-0.22194085,0.19318041,chain_0
-0.2218709,0.17120165,chain_0
-0.21815048,0.16764979,chain_0
-0.19072674,0.17826822,chain_0
-0.21410045,0.16187869,chain_0
-0.21729298,0.1723488,chain_0
-0.20588356,0.18703742,chain_0
-0.20852949,0.17817837,chain_0
-0.19544718,0.17194872,chain_0
-0.20613629,0.15689503,chain_0
-0.20704019,0.15364586,chain_0
-0.2070383,0.19070826,chain_0
-0.2197092,0.18602891,chain_0
-0.21003217,0.1591305,chain_0
-0.2166456,0.16742846,chain_0
-0.22883676,0.18323778,chain_0
-0.24297456,0.2001719,chain_0
-0.23152581,0.1734125,chain_0
-0.18563576,0.1606846,chain_0
-0.23312576,0.19077606,chain_0
-0.2264184,0.18988301,chain_0
-0.18436158,0.16003546,chain_0
-0.20491205,0.16172384,chain_0
-0.20130697,0.16252252,chain_0
-0.22921416,0.19366619,chain_0
-0.21111983,0.1818168,chain_0
-0.20215616,0.15570185,chain_0
-0.24275775,0.16892709,chain_0
-0.2284265,0.18783443,chain_0
-0.20190583,0.17364796,chain_0
-0.22429854,0.19082895,chain_0
-0.19713093,0.1810719,chain_0
-0.23786499,0.21674334,chain_0
-0.21981035,0.18312785,chain_0
-0.2227048,0.16654724,chain_0
-0.23047668,0.1740049,chain_0
-0.22962874,0.18547711,chain_0
-0.23281384,0.1897092,chain_0
-0.21480973,0.19000703,chain_0
-0.2321486,0.14865513,chain_0
-0.24934457,0.18043898,chain_0
-0.1996254,0.17457812,chain_0
-0.19940567,0.146884,chain_0
-0.22765118,0.20854408,chain_0
-0.24872102,0.1907237,chain_0
-0.213723,0.18249083,chain_0
-0.1875223,0.17850398,chain_0
-0.20819002,0.20090148,chain_0
-0.22224072,0.19235812,chain_0
-0.23709247,0.1975992,chain_0
-0.2176382,0.16994576,chain_0
-0.2019318,0.1649299,chain_0
-0.19188109,0.18326922,chain_0
-0.20938858,0.17443483,chain_0
-0.21364728,0.17250949,chain_0
-0.20612988,0.17841093,chain_0
-0.21072607,0.16221568,chain_0
-0.23616071,0.17285669,chain_0
-0.20980859,0.20913911,chain_0
-0.20548382,0.18356492,chain_0
-0.2151756,0.17322625,chain_0
-0.22668213,0.17391644,chain_0
-0.24267751,0.19930327,chain_0
-0.21547075,0.1774079,chain_0
-0.17876959,0.13966754,chain_0
-0.23640236,0.18580262,chain_0
-0.22014032,0.18791349,chain_0
-0.24705765,0.20330878,chain_0
-0.19721334,0.16255414,chain_0
-0.22116491,0.1490061,chain_0
-0.21061811,0.15343204,chain_0
-0.21488716,0.19326423,chain_0
-0.20434664,0.17752568,chain_0
-0.21591361,0.17756715,chain_0
-0.2096631,0.18917146,chain_0
-0.19665241,0.16716751,chain_0
-0.2498151,0.22284849,chain_0
-0.19844364,0.19965148,chain_0
-0.23255232,0.18515751,chain_0
-0.2068247,0.17768177,chain_0
-0.20270488,0.16524161,chain_0
-0.21019623,0.18440852,chain_0
-0.22257316,0.18508019,chain_0
-0.2465459,0.20467797,chain_0
-0.19986464,0.14864656,chain_0
-0.22626384,0.19859374,chain_0
-0.2123794,0.19807813,chain_0
-0.22141555,0.15775768,chain_0
-0.22890666,0.19054681,chain_0
-0.23564106,0.15275499,chain_0
-0.21224669,0.16190939,chain_0
-0.23448612,0.18218084,chain_0
-0.2153908,0.18721974,chain_0
-0.22081333,0.18843517,chain_0
-0.20769784,0.1632589,chain_0
-0.25142092,0.20425867,chain_0
-0.21754554,0.18460362,chain_0
-0.21311817,0.18079053,chain_0
-0.2058358,0.19258752,chain_0
-0.20115168,0.1873934,chain_0
-0.22864252,0.21288328,chain_0
-0.20184034,0.14806876,chain_0
-0.23797512,0.1914255,chain_0
-0.23012066,0.16372144,chain_0
-0.21627785,0.17371039,chain_0
-0.19966353,0.18943503,chain_0
-0.2134258,0.21256125,chain_0
-0.23318149,0.17387204,chain_0
-0.24633774,0.21857578,chain_0
-0.21571194,0.18633914,chain_0
-0.22054662,0.2056522,chain_0
-0.19472483,0.15120448,chain_0
-0.21804765,0.17494625,chain_0
-0.229293,0.20228986,chain_0
-0.22638352,0.19895469,chain_0
-0.25972176,0.21295948,chain_0
-0.18946779,0.12001542,chain_0
-0.1893428,0.14991653,chain_0
-0.20669568,0.17101374,chain_0
-0.22352406,0.20973337,chain_0
-0.23205766,0.19023891,chain_0
-0.18769422,0.15583201,chain_0
-0.20747872,0.17525321,chain_0
-0.23261592,0.17226303,chain_0
-0.22511852,0.20461617,chain_0
-0.24255772,0.23287924,chain_0
-0.22442761,0.20291276,chain_0
-0.21748117,0.17171645,chain_0
-0.2299148,0.19979754,chain_0
-0.20581512,0.18441826,chain_0
-0.22907202,0.1944447,chain_0
-0.22208725,0.19363338,chain_0
-0.23768842,0.22170885,chain_0
-0.21349187,0.1788466,chain_0
-0.20838207,0.15001905,chain_0
-0.24628456,0.17825016,chain_0
-0.21389055,0.19075975,chain_0
-0.2131733,0.20602803,chain_0
-0.20604177,0.18919592,chain_0
-0.22492115,0.1969408,chain_0
-0.21293041,0.18875861,chain_0
-0.21651693,0.20131116,chain_0
-0.22575547,0.18685529,chain_0
-0.23038982,0.15337422,chain_0
-0.22943945,0.17832603,chain_0
-0.22390957,0.1948574,chain_0
-0.2126225,0.15512004,chain_0
-0.2158551,0.17942277,chain_0
-0.20113158,0.172501,chain_0
-0.21407503,0.18140757,chain_0
-0.21626206,0.18254082,chain_0
-0.22521342,0.1699813,chain_0
-0.23659806,0.19173908,chain_0
-0.19991356,0.16055416,chain_0
-0.20542784,0.16778545,chain_0
-0.19871907,0.19301222,chain_0
-0.1891016,0.1629092,chain_0
-0.23228309,0.15414536,chain_0
-0.20096107,0.20479763,chain_0
-0.20753175,0.15852158,chain_0
-0.2324865,0.17728491,chain_0
-0.2310434,0.19553652,chain_0
-0.17390838,0.15185139,chain_0
-0.22993337,0.17238757,chain_0
-0.21525872,0.18371314,chain_0
-0.21056767,0.19120178,chain_0
-0.21121694,0.16839686,chain_0
-0.21492232,0.15583514,chain_0
-0.2306115,0.21089551,chain_0
-0.23783103,0.1686446,chain_0
-0.19784015,0.1560049,chain_0
-0.21570686,0.18478268,chain_0
-0.19084379,0.16857275,chain_0
-0.2206926,0.1932494,chain_0
-0.23380527,0.19703789,chain_0
-0.2125378,0.19931452,chain_0
-0.24572597,0.20617802,chain_0
-0.20065737,0.15290563,chain_0
-0.20371522,0.17944606,chain_0
-0.21199037,0.16839817,chain_0
-0.22730172,0.14929038,chain_0
-0.19313028,0.16612004,chain_0
-0.2539351,0.19387536,chain_0
-0.22850186,0.19124028,chain_0
-0.21447656,0.15681487,chain_0
-0.21252632,0.18058506,chain_0
-0.24302849,0.18549572,chain_0
-0.2263775,0.17904516,chain_0
-0.20766026,0.17095278,chain_0
-0.21393669,0.17872538,chain_0
-0.24377291,0.18720393,chain_0
