beta0,beta1,beta2,beta3,sigma,chain
15.9735365,-8.254752,0.06602454,6.4473295,8.858428,chain_0
15.307022,7.477544,-18.26705,9.927232,9.986927,chain_0
19.325176,0.09798527,-5.683087,7.199907,19.290083,chain_0
18.128532,28.354744,-33.908535,6.774158,7.848495,chain_0
17.285994,-2.4712973,20.111372,-13.961315,9.982697,chain_0
19.694462,34.7843,-23.094255,-12.541388,16.690626,chain_0
13.442771,6.9555917,-5.951025,1.3118297,9.495269,chain_0
14.858678,11.596921,-2.5918057,-8.253585,8.838713,chain_0
16.446327,23.736261,-12.444681,-15.313722,13.755438,chain_0
14.829623,-4.2515063,24.839325,-19.896494,10.758911,chain_0
18.81372,17.596834,-26.102789,9.123459,10.092093,chain_0
18.873114,19.133032,-33.287914,16.135296,10.299613,chain_0
15.069914,4.2015452,-25.35856,17.15157,14.43063,chain_0
17.876726,22.65483,-19.641094,-2.4691586,8.974611,chain_0
17.900383,28.8923,-19.85824,-10.166968,9.925301,chain_0
16.533302,3.9177303,-12.171913,4.7961884,12.041163,chain_0
16.884521,8.826505,-3.263032,-6.798504,10.209829,chain_0
11.231747,8.046241,-6.1312766,-5.848322,13.544456,chain_0
17.096943,30.571154,-15.806928,-18.498562,10.779084,chain_0
17.328371,-1.4358926,-3.7957666,8.825707,13.808245,chain_0
17.681673,-34.43599,42.926796,-9.115225,9.540782,chain_0
18.092,23.918407,0.6542661,-24.78572,9.563237,chain_0
18.143986,10.558508,33.71262,-41.168613,11.492605,chain_0
13.310579,21.955006,2.8089004,-23.927711,13.907695,chain_0
15.73542,19.998896,-1.1865199,-14.751632,11.507427,chain_0
17.380136,-1.2477806,-20.325027,23.279024,10.236157,chain_0
17.449581,18.483978,-19.334253,0.9201287,13.016474,chain_0
13.719563,18.442814,-7.7802615,-11.371382,11.458561,chain_0
17.535688,12.719444,-10.55338,-4.279597,9.864513,chain_0
15.550494,22.865974,-34.69924,14.473545,15.844132,chain_0
17.145685,2.2019923,0.81040376,-3.5371351,8.783848,chain_0
19.947598,-2.499014,21.953384,-22.50164,9.852399,chain_0
18.865747,15.798158,-27.32537,13.955571,10.427894,chain_0
19.035471,22.215748,-14.755865,-8.663539,10.960946,chain_0
21.228903,-4.34644,32.193356,-24.950968,14.558641,chain_0
18.218569,22.863762,-34.4425,16.650225,9.731033,chain_0
16.941273,-15.596355,8.069154,5.8827276,10.726567,chain_0
21.140804,12.970706,-0.29544997,-11.645614,10.516323,chain_0
14.576555,-2.5461504,-9.836163,12.7265625,8.822941,chain_0
17.738512,20.818327,-26.061756,6.4780135,10.275461,chain_0
19.263885,3.402265,6.036071,-10.397304,11.390795,chain_0
19.411531,4.0704765,-7.531167,3.8110743,11.756284,chain_0
15.616148,17.402254,-9.301408,-8.227995,10.919325,chain_0
16.128962,16.849808,28.219275,-45.022205,15.1621065,chain_0
17.98211,-14.503806,15.352957,2.28479,8.1952305,chain_0
14.27357,7.1195216,22.82903,-33.412663,10.42472,chain_0
17.376347,27.409601,-10.689867,-17.616749,8.677661,chain_0
18.180529,-18.63588,17.129158,-0.28061372,13.444914,chain_0
18.777445,29.493523,-19.130209,-12.827005,10.597803,chain_0
16.404402,-2.5844688,12.149488,-9.424984,11.953126,chain_0
12.293062,-12.632134,35.67469,-22.534428,9.973668,chain_0
18.484207,10.675012,-10.866062,2.4189572,13.984968,chain_0
22.832344,-18.808096,48.078632,-33.29586,16.199278,chain_0
12.125187,24.406254,-25.58289,5.529256,12.368521,chain_0
15.489948,-8.515108,17.247175,-6.63633,11.004353,chain_0
16.523262,8.5366955,-3.3602257,-5.517715,9.013015,chain_0
17.822527,10.728081,-2.7893019,-7.0393157,9.38578,chain_0
22.930498,-4.211779,1.957376,11.443546,11.78061,chain_0
19.582348,8.32589,5.518122,-14.650884,11.106358,chain_0
21.037529,-0.34949875,18.482744,-16.54119,13.169832,chain_0
13.774131,4.706051,3.7693563,-5.460533,10.368742,chain_0
17.95925,20.287033,6.2967186,-27.537119,10.858974,chain_0
12.183371,26.348335,-23.795145,-5.438393,12.6538315,chain_0
17.575909,11.134285,-8.7159195,0.40720356,9.88485,chain_0
16.356071,25.02464,-5.022173,-21.95194,9.608596,chain_0
18.660606,19.264933,-47.887672,26.184492,14.688174,chain_0
20.869055,-10.186782,18.114075,-5.265631,12.078574,chain_0
15.736369,-0.5694318,-3.8779163,1.6480933,13.420356,chain_0
13.427834,-1.1740172,17.100985,-14.286994,13.348162,chain_0
10.743741,1.8180586,4.7166605,-5.1863556,9.989148,chain_0
12.02527,5.4920154,21.119564,-29.2868,11.985129,chain_0
20.588316,-5.4076834,7.898035,-1.7072836,10.619469,chain_0
15.828773,39.72727,-22.108418,-15.09147,11.189388,chain_0
15.186317,-10.821974,46.84501,-38.079445,13.649371,chain_0
18.460466,5.659775,11.971908,-21.060162,12.7563,chain_0
13.87673,-11.891565,15.83184,-3.3345141,10.324516,chain_0
19.667007,38.896626,-23.183344,-13.238596,11.183156,chain_0
18.119776,1.343563,20.397732,-24.65126,10.34538,chain_0
18.894047,20.865904,-10.435593,-6.1651144,9.811908,chain_0
15.387057,27.254238,-11.366468,-14.384206,11.129594,chain_0
15.628739,-4.156755,-7.5597415,10.933182,11.57822,chain_0
14.781044,36.672108,-13.987221,-23.291138,13.100619,chain_0
19.664297,12.590175,3.7589746,-15.441624,10.994036,chain_0
19.679506,23.81108,-20.108728,-3.1679802,10.123425,chain_0
19.116056,20.625704,-17.132662,-2.9796958,11.829524,chain_0
17.842115,32.478065,-14.539711,-17.85328,9.676971,chain_0
13.264278,8.318657,-19.638746,7.5892186,9.410075,chain_0
22.250277,17.621527,7.8019614,-24.085981,11.8698845,chain_0
16.239,14.213845,-0.6334417,-12.223404,10.268041,chain_0
13.791155,13.809763,-16.38254,0.7434438,8.9921055,chain_0
13.139142,13.815413,-9.842482,-4.2880483,11.256153,chain_0
16.812685,19.260145,-15.487148,1.32062,11.819364,chain_0
16.74056,-2.562001,-10.265047,17.357449,12.923366,chain_0
13.398449,20.296614,-11.060713,-14.913163,13.813408,chain_0
12.833494,38.97216,-20.755793,-15.726781,14.370919,chain_0
15.174121,15.021391,-54.04608,43.726093,15.685842,chain_0
16.704006,28.539646,6.588347,-39.280506,12.267675,chain_0
21.989723,23.913378,-6.417094,-16.855654,11.543636,chain_0
16.717361,-21.860483,39.57478,-23.206873,11.949653,chain_0
17.032385,-8.349576,45.479595,-35.796482,9.916432,chain_0
17.601017,20.39113,-2.0264456,-15.261585,9.1968,chain_0
11.083595,15.58329,-23.70846,6.6321297,14.089786,chain_0
17.823872,14.93791,7.169718,-20.789284,10.528325,chain_0
16.953009,1.5281181,-18.180984,14.825521,15.446448,chain_0
15.814494,17.28546,-11.298588,-6.6586,7.498182,chain_0
16.582329,15.349371,-14.13187,2.1472285,11.127039,chain_0
19.529928,11.532745,-6.9555454,-4.76762,8.00028,chain_0
16.731226,33.00895,-19.131933,-12.712901,11.265146,chain_0
18.792965,4.200107,3.4822764,-8.309758,11.087546,chain_0
15.816665,4.05753,-6.8154836,1.9283693,11.76883,chain_0
18.012043,10.093163,-2.6889048,-8.834309,12.669206,chain_0
18.668976,-21.594225,24.599901,-3.5713751,8.561597,chain_0
19.54827,-6.273865,25.076916,-21.40561,10.867708,chain_0
21.180683,38.894592,-33.99419,-9.865352,14.2502165,chain_0
21.14617,19.940687,-1.9258988,-16.179913,7.9058094,chain_0
21.660473,20.233028,-10.739253,-8.247498,9.47608,chain_0
21.806484,25.037146,-4.071866,-20.759249,12.778561,chain_0
17.219044,76.39179,-71.45825,0.43658674,17.35485,chain_0
15.203701,29.44829,-15.74378,-14.160089,11.133469,chain_0
19.495483,8.094571,-0.16925736,-7.433758,9.181434,chain_0
19.345566,-16.84749,2.2006707,18.064964,14.342041,chain_0
17.85766,-4.83351,-31.88378,35.75069,13.109805,chain_0
15.420133,-11.464461,1.6495166,11.4728155,11.810375,chain_0
17.314728,3.3215725,18.056908,-21.076862,9.674943,chain_0
18.852146,-7.4106526,-16.946716,27.94725,11.030912,chain_0
17.364233,24.306435,-25.69269,1.7339468,12.750097,chain_0
18.56261,21.263016,-23.941866,4.0103154,8.937679,chain_0
17.430779,3.203014,8.383949,-12.720422,9.243486,chain_0
18.196878,17.693674,-7.4024754,-9.837512,11.24626,chain_0
13.23678,7.121812,1.0112716,-4.7885456,11.11865,chain_0
24.071346,13.386702,-15.365145,2.5515013,9.81908,chain_0
18.981993,-7.7631073,-11.765468,19.124268,14.4164,chain_0
14.562255,-3.7307806,1.080808,0.44078884,12.766532,chain_0
17.394201,14.926454,-3.988428,-5.940611,10.883133,chain_0
16.14703,7.210602,-2.7027516,-7.3381724,10.59319,chain_0
20.954279,14.690644,-22.102268,8.32205,9.18065,chain_0
17.825102,20.022627,-0.25168133,-14.89744,9.177601,chain_0
21.22108,5.7837095,13.521383,-15.42248,13.350272,chain_0
13.170836,34.2306,-34.95643,3.2150588,14.626471,chain_0
16.729826,12.446781,-12.455151,4.028263,12.86077,chain_0
18.26346,18.109446,-6.7563534,-9.967165,7.2686195,chain_0
19.000984,-12.350088,9.640533,2.3354714,8.627182,chain_0
18.876883,33.824448,-13.475291,-24.091536,12.010096,chain_0
19.505768,4.325082,17.357014,-22.699696,12.637217,chain_0
18.176064,18.364809,-6.903477,-6.503723,8.570325,chain_0
19.74576,6.009017,6.058123,-8.758278,14.068762,chain_0
17.2789,5.5896835,22.651735,-24.024685,11.385929,chain_0
17.931427,21.926235,-22.078499,-3.5123525,7.1209536,chain_0
16.590994,5.687434,-10.789885,4.9571023,9.7332325,chain_0
16.18417,-6.0035467,-19.300537,26.89247,12.309942,chain_0
15.584495,2.3654702,6.392504,-10.623421,12.678706,chain_0
16.15795,-13.61829,40.384262,-27.951572,9.5305805,chain_0
13.4917145,12.143957,-5.366812,-11.888636,13.674644,chain_0
14.697291,-8.824657,-1.8666428,12.915805,14.0006485,chain_0
17.961664,2.817257,12.41575,-15.1172495,11.5039625,chain_0
18.219364,17.642687,6.881318,-24.765636,7.6872196,chain_0
17.43153,16.536188,-6.6896496,-12.632205,8.235548,chain_0
18.831175,-3.1535063,23.052107,-16.807098,12.813963,chain_0
20.745066,36.96225,-32.110256,-5.5998588,10.946922,chain_0
16.290436,-3.958427,-10.13224,13.411176,8.459803,chain_0
16.916147,-23.540499,20.514797,1.6293995,11.353443,chain_0
18.685808,11.788994,13.048909,-26.283293,12.759184,chain_0
17.761263,12.947193,3.8827028,-18.656364,12.619623,chain_0
17.325676,9.941658,1.2808626,-13.198861,11.907553,chain_0
17.101486,35.564777,-11.360386,-22.45261,12.616781,chain_0
22.178858,4.245001,4.34015,-8.404316,12.511232,chain_0
15.946278,15.090424,3.2195063,-18.432125,10.312054,chain_0
17.80823,11.902874,-18.692863,3.7193978,12.932902,chain_0
20.381502,11.183902,-19.264492,5.8239346,10.257153,chain_0
16.879787,11.507048,2.14987,-16.908653,12.156468,chain_0
15.787577,45.690685,-6.794452,-35.43215,14.086232,chain_0
20.910948,-0.26135582,-15.194653,18.466072,10.092387,chain_0
19.089312,-13.8079195,32.37088,-23.151716,10.779762,chain_0
18.688107,3.7520714,41.462444,-44.576725,11.461763,chain_0
16.975574,8.752996,-8.849604,-2.8908565,11.729237,chain_0
13.211895,-22.83277,60.015797,-32.554447,12.407629,chain_0
17.044107,11.7836075,15.771527,-27.137243,9.757888,chain_0
19.93298,1.6983875,49.813614,-50.070103,13.243194,chain_0
19.909924,17.102049,29.749676,-45.843525,13.946667,chain_0
17.392897,15.451249,20.576382,-33.937664,13.105305,chain_0
18.919096,8.282663,-9.904308,3.1794715,10.377494,chain_0
17.81731,-8.341917,2.6789365,3.0215135,11.863641,chain_0
16.263557,17.5943,-12.898552,-3.928912,11.707645,chain_0
11.044028,18.011862,-17.96235,3.1897712,13.571346,chain_0
18.633131,17.684761,6.152435,-22.861088,9.62153,chain_0
20.131649,-2.3300166,-2.2049124,4.3523645,12.573893,chain_0
18.34055,-1.0894734,5.5948305,-3.832334,10.413206,chain_0
16.345566,-14.65486,15.048742,-1.9079264,13.405537,chain_0
10.435775,-6.1345525,36.10627,-29.768044,17.557247,chain_0
10.853482,-9.359083,22.95206,-15.319622,11.453399,chain_0
14.513631,4.8055205,-10.115609,5.52388,16.60593,chain_0
19.90083,-5.7658606,-4.5463176,9.017163,12.287255,chain_0
16.066908,34.960934,-32.721336,-4.3618045,12.797428,chain_0
18.45249,27.87993,-6.345269,-21.172707,9.441578,chain_0
18.311249,12.816508,-5.806066,-5.9070024,11.082469,chain_0
20.350994,12.274349,-23.1335,13.023329,11.615709,chain_0
18.23597,40.83561,-37.69303,-1.7545112,11.660441,chain_0
19.170364,-12.937899,23.34653,-7.4141135,12.6937475,chain_0
17.410877,12.025012,1.7978897,-11.157117,9.214259,chain_0
16.454746,8.994152,-4.429799,-1.060624,10.612463,chain_0
19.16079,6.3983793,1.5405413,-4.2247925,13.058153,chain_0
15.726679,4.6870575,-2.5644526,-8.026538,13.389199,chain_0
19.518265,26.831057,-9.814578,-18.502842,12.619473,chain_0
19.111475,7.155229,8.686757,-14.393745,9.517007,chain_0
20.719013,-2.3584332,20.849709,-19.658112,12.599057,chain_0
17.231443,3.1053207,20.250187,-23.162477,10.173998,chain_0
19.309376,-3.0509589,18.647345,-19.400127,12.916823,chain_0
15.423737,6.0674562,27.330572,-33.94279,9.104674,chain_0
17.701488,2.6545315,14.038721,-17.314163,9.727932,chain_0
20.475113,11.2408285,-19.439861,5.282712,11.038968,chain_0
17.147133,28.76873,-21.897139,-9.422476,11.770068,chain_0
14.867157,2.8977685,-19.24949,13.295013,9.607318,chain_0
15.806987,8.930017,-6.767786,-4.1470447,11.906799,chain_0
19.457468,10.361264,9.057711,-18.638794,7.914868,chain_0
19.21997,19.395353,-9.045242,-12.3922825,12.517509,chain_0
18.175993,1.5876524,14.80949,-17.520473,9.012532,chain_0
17.036324,41.403152,-30.18842,-10.60639,12.784037,chain_0
14.457892,-3.609574,-7.596101,7.492508,9.652861,chain_0
19.677567,32.92319,-12.749414,-19.0176,10.527447,chain_0
19.23514,-8.199082,4.783973,1.6961678,12.984303,chain_0
18.066704,29.103863,-7.1925592,-21.419966,15.638769,chain_0
19.8734,-3.6622415,9.206511,-4.177262,11.544559,chain_0
21.398422,-13.447403,-4.741659,19.64768,10.550216,chain_0
21.893879,-7.2520924,-0.19371033,8.621801,10.150771,chain_0
19.062078,5.376428,-25.150894,16.455347,10.882778,chain_0
19.405415,-18.48203,3.4028177,15.8122835,15.133294,chain_0
18.024887,1.6488642,-4.514676,3.631063,9.223225,chain_0
20.117939,18.5876,-3.6042747,-12.993635,13.60189,chain_0
21.21042,5.7502213,-0.57826424,-3.283422,12.419218,chain_0
12.858732,9.076348,-4.325699,-2.150148,13.728058,chain_0
14.643882,1.6561418,3.3528209,-6.570177,8.731716,chain_0
20.977837,13.42776,-10.438086,-3.4020488,9.542133,chain_0
19.864985,-4.6883583,11.179202,-4.7664366,11.146629,chain_0
17.164762,-2.2963643,-0.33321422,2.6327658,12.5943365,chain_0
18.283276,21.712713,9.556456,-30.69612,10.219971,chain_0
19.427792,7.6692176,2.7150047,-13.096944,9.668226,chain_0
18.517094,2.0018888,-3.389937,3.9607263,10.820653,chain_0
17.254787,3.6655297,-1.1447829,-2.3835843,10.211085,chain_0
19.234562,12.327946,-3.0335598,-9.089085,9.566039,chain_0
16.704908,5.525285,-2.5042899,-3.989392,9.435078,chain_0
16.616133,0.6985824,-17.022053,13.180831,12.107057,chain_0
18.768276,-12.7686205,45.456295,-29.526152,12.958508,chain_0
17.555246,17.338223,-16.413425,2.779005,10.797189,chain_0
14.380227,13.445476,-30.085897,14.246616,15.664707,chain_0
15.695946,18.98081,4.304158,-21.163557,11.868685,chain_0
17.43842,27.669186,-19.349895,-7.8817005,11.634735,chain_0
18.257862,4.1910186,3.6785827,-5.8559365,9.562993,chain_0
18.59113,33.15779,-2.6201825,-29.37751,12.565082,chain_0
15.497207,27.991453,-17.753033,-12.999135,12.244187,chain_0
15.984337,14.511476,9.483333,-22.236757,12.036632,chain_0
15.455592,15.15742,-6.5581717,-6.9913073,9.06382,chain_0
15.353583,4.9700885,8.03389,-8.951444,10.785912,chain_0
17.544388,24.98981,-32.121647,3.429451,12.6402025,chain_0
19.573652,-3.0679832,26.150236,-18.72479,9.552576,chain_0
13.287285,3.4853742,-9.680588,3.786728,11.431994,chain_0
16.408829,5.2480183,-0.66438746,-2.4831514,9.39394,chain_0
19.322012,8.693217,12.903378,-22.301167,7.764866,chain_0
17.153564,9.3006,2.0822492,-14.731571,8.472142,chain_0
18.060354,18.865744,0.114448145,-20.525158,9.241041,chain_0
17.051033,18.933613,-1.7041178,-20.60427,9.08619,chain_0
19.88322,-29.358036,30.015837,0.029514551,11.407844,chain_0
21.10577,-31.481773,28.825926,-0.356992,11.740498,chain_0
16.13581,-22.946318,19.498634,2.514221,17.047962,chain_0
16.965118,-32.004772,35.28743,-0.8930761,11.276865,chain_0
19.298704,15.148162,-3.177236,-10.798541,10.619631,chain_0
14.999291,19.172699,-41.868805,21.621347,10.277399,chain_0
14.187156,34.17103,-29.3989,1.6043346,12.970195,chain_0
19.821497,1.3891736,-2.9139085,1.1751846,9.175886,chain_0
19.298443,-6.047694,31.160673,-23.89632,12.585304,chain_0
15.476929,21.09788,-22.24267,1.084445,9.886799,chain_0
21.191904,17.493454,-28.13523,8.381224,9.037658,chain_0
19.910162,6.972037,-5.6682644,-0.8167778,10.151396,chain_0
16.844347,8.338076,46.3874,-52.01596,13.374504,chain_0
17.535597,-10.947495,26.835098,-13.72328,11.129686,chain_0
17.223513,43.79833,-40.30674,-2.4630203,12.880197,chain_0
18.946707,-9.921181,14.250614,-2.9777303,10.710569,chain_0
19.378197,-0.89908075,4.1647525,-2.5229583,10.168694,chain_0
14.899864,15.751103,-9.438229,-3.7458193,9.668613,chain_0
15.952153,0.32171494,-15.902384,9.566824,11.011043,chain_0
24.456963,25.44426,-29.53031,6.8983192,13.402351,chain_0
17.432123,33.166965,-9.812083,-15.374482,16.686966,chain_0
14.889244,26.328552,-24.645702,-2.8789637,17.785362,chain_0
10.66709,23.641577,-16.666044,-5.994354,13.732765,chain_0
17.498447,11.134283,2.762456,-12.6143875,8.346867,chain_0
14.139281,4.549243,4.56411,-6.1051345,9.66969,chain_0
16.608622,-28.08901,24.412697,4.694225,10.156576,chain_0
18.535482,18.344578,-24.940678,8.44475,15.682375,chain_0
19.339329,-1.0491719,7.1569214,-5.7496204,8.776571,chain_0
18.277252,-0.51024354,4.3921447,-0.41566038,11.632169,chain_0
15.8599825,-24.234394,6.33528,18.593042,11.93172,chain_0
14.472115,-15.290728,30.922283,-16.245037,8.553292,chain_0
11.341218,40.69571,-31.259796,-9.867246,15.681257,chain_0
14.861399,53.639336,-34.150326,-22.460207,14.790887,chain_0
21.053337,25.558594,-23.780838,2.31719,9.832968,chain_0
18.67129,-0.40454328,1.1047357,2.6993606,15.1083,chain_0
18.969574,15.048988,-0.7057158,-13.843822,10.529286,chain_0
14.816571,15.818514,-25.559908,5.4798775,11.817544,chain_0
17.946888,19.913092,-0.6550338,-18.001677,10.662532,chain_0
20.78121,17.626446,-3.716386,-17.226847,9.334526,chain_0
22.82269,25.910185,0.43642247,-21.43682,10.443925,chain_0
20.317513,14.849859,-11.258291,-5.4225364,12.295021,chain_0
13.666008,-5.9912944,1.322258,5.5073953,13.445905,chain_0
19.130657,36.188847,-31.343077,-0.28841102,10.395606,chain_0
18.816273,12.103599,6.286327,-13.917492,8.955978,chain_0
16.03287,24.475319,-10.755105,-12.939681,13.34066,chain_0
20.248688,19.20056,-9.563516,-8.550423,8.15991,chain_0
15.942603,9.074938,-4.4196024,-3.17905,9.950366,chain_0
17.71924,3.5608804,5.4967813,-8.223716,9.644881,chain_0
11.084026,19.730152,-22.826702,5.930524,11.140311,chain_0
17.485287,-29.193222,36.124443,-6.9447064,10.018414,chain_0
17.90334,-0.7251836,21.411907,-19.651741,9.282271,chain_0
14.872085,2.5917208,5.379589,-5.5700765,14.274101,chain_0
18.794579,-1.7256727,4.382846,-1.2724354,14.69331,chain_0
17.330894,-8.9778185,37.550667,-32.23538,10.874053,chain_0
16.804884,8.446585,10.73406,-22.859716,11.217764,chain_0
16.41767,19.935013,-18.02377,-0.95768005,9.223642,chain_0
14.258858,14.350394,7.9455013,-21.194,11.244895,chain_0
16.303667,8.836491,-9.012894,-0.5297079,11.20999,chain_0
19.931217,31.757418,-3.4926493,-24.03807,10.305816,chain_0
18.548336,40.842735,-32.87819,-9.063706,12.040148,chain_0
19.448643,38.46087,-36.289165,0.044212997,10.623164,chain_0
17.145905,5.116397,2.2712567,-6.16128,10.104885,chain_0
18.585905,5.458873,24.809687,-30.652605,8.753082,chain_0
18.82723,-6.118409,22.735624,-17.655151,8.984787,chain_0
14.707179,30.823593,-17.812899,-15.076386,12.002848,chain_0
19.796587,-10.4583435,-1.6175236,15.292841,11.619449,chain_0
20.972881,-9.073958,14.944802,-12.341918,13.787562,chain_0
16.830576,9.462446,-0.3547771,-9.416282,12.594289,chain_0
18.932697,-17.09558,30.228024,-14.226908,11.087099,chain_0
19.839462,38.98789,-41.540936,0.62498116,11.0538435,chain_0
18.974567,16.916351,-17.44681,-2.3914735,12.873826,chain_0
17.870531,7.4590564,-9.555722,2.6562634,9.132802,chain_0
17.974878,16.314138,-2.8328876,-13.903773,10.337056,chain_0
14.692985,19.128092,-9.796607,-10.797413,10.78013,chain_0
16.501635,10.903538,-13.81603,8.293012,12.7705965,chain_0
18.62657,0.6516669,-1.1763867,2.2927606,13.302302,chain_0
21.204304,7.240319,-14.489248,4.7129045,9.422382,chain_0
17.366938,21.791584,-11.184135,-7.915048,11.149454,chain_0
18.567654,5.326451,4.9604726,-11.015676,11.50193,chain_0
19.543415,21.03423,-1.6056037,-22.053885,13.847295,chain_0
22.83367,6.568606,-5.9159837,0.3700442,10.660051,chain_0
17.310747,-6.1440387,28.100996,-25.461594,11.595066,chain_0
13.716892,23.51481,-22.353354,-1.0935898,13.050655,chain_0
18.298386,19.72908,-32.3581,15.33624,11.543039,chain_0
17.108335,-7.034719,-26.9349,35.450787,10.884615,chain_0
13.166212,36.565613,-15.172438,-22.2758,11.449167,chain_0
17.98202,11.117654,24.034609,-33.915966,8.273316,chain_0
15.428992,15.997819,-4.428623,-9.995387,9.600817,chain_0
14.706359,4.7933006,34.317406,-36.60325,11.897044,chain_0
17.803286,18.753603,8.503987,-24.041855,10.953767,chain_0
22.00819,-14.704256,38.97938,-27.202812,13.675052,chain_0
19.238066,21.565619,-6.3875756,-16.609114,11.73384,chain_0
16.466675,12.021063,11.934219,-24.405806,12.915105,chain_0
18.584368,-5.1817784,-28.533028,31.767735,11.582077,chain_0
16.209112,31.45013,-13.088835,-18.157705,9.174528,chain_0
20.193804,12.535691,-3.4037786,-8.887794,10.51584,chain_0
19.511118,13.25728,-2.8715682,-14.490838,10.253277,chain_0
21.645563,-5.580196,29.931902,-28.710215,10.693571,chain_0
17.458954,14.79744,38.897457,-59.347713,16.863499,chain_0
18.126898,22.429445,-33.12408,6.643283,12.769915,chain_0
